futtatas,ag,commit,live_utc,detect_utc,restored_utc,eszlelesi_mp,helyreallitasi_mp,teljes_mp,beavatkozasok,rollback_cel_sha,elfogadas,megjegyzes
1,release/meres-hiba,dbe433c,07:13:51,07:13:54,07:14:19,3,25,28,2,e4da1d9,sikeres,"push 07:11:48 (auto-hiba-01.txt), pipeline-start 07:11:58, deploy-start 07:13:31, helm revision 32; a verify play az Echo a valid payload feladaton bukott (500, a tobbi elotte ok); helm rollback --wait 07:13:54 -> 07:14:15 (21 mp), a visszaallitott verzio verify-ja 07:14:17 -> 07:14:19, a version-assert a PREV_TAG=e4da1d9-re ment at; a workflow piros maradt; beavatkozas: a push es a piros eredmeny elbiralasa (2026-09-22-i dontes, naplo); logok: ci-build-test-push-33, ci-deploy-34"
2,release/meres-hiba,be3a91c,07:19:03,07:19:05,07:19:29,2,24,26,2,e4da1d9,sikeres,"push 07:16:38 (auto-hiba-02.txt), pipeline-start 07:16:51, deploy-start 07:18:43, helm revision 34; a verify play az Echo a valid payload feladaton bukott (500, a tobbi elotte ok); helm rollback --wait 07:19:05 -> 07:19:25 (20 mp), a visszaallitott verzio verify-ja 07:19:26 -> 07:19:29, a version-assert a PREV_TAG=e4da1d9-re ment at; a workflow piros maradt; beavatkozas: a push es a piros eredmeny elbiralasa (2026-09-22-i dontes, naplo); logok: ci-build-test-push-35, ci-deploy-36"
3,release/meres-hiba,a9129e6,07:22:57,07:22:59,07:23:22,2,23,25,2,e4da1d9,sikeres,"push 07:20:51 (auto-hiba-03.txt), pipeline-start 07:21:03, deploy-start 07:22:35, helm revision 36; a verify play az Echo a valid payload feladaton bukott (500, a tobbi elotte ok); helm rollback --wait 07:22:59 -> 07:23:18 (19 mp), a visszaallitott verzio verify-ja 07:23:20 -> 07:23:22, a version-assert a PREV_TAG=e4da1d9-re ment at; a workflow piros maradt; beavatkozas: a push es a piros eredmeny elbiralasa (2026-09-22-i dontes, naplo); logok: ci-build-test-push-37, ci-deploy-38"
